"Date","Record Number","Record Type","Description","Project Name","Address","Status","Short Notes",
"06/11/2026","RES-NEW-26-003306","Residential New Construction Permit","New Construction TH w/attached garage","1339 Santee St","1339 SANTEE ST, CHARLOTTE NC 28208","Inspection Phase","Satori - Building 2B",
"06/11/2026","RES-NEW-26-003296","Residential New Construction Permit","New townhome","2030 W LAPORTE DR CHARLOTTE","2030 W LAPORTE DR, CHARLOTTE NC 28216","Ready to Issue",,
"06/11/2026","RES-NEW-26-003299","Residential New Construction Permit","New five-unit townhome dwelling.","10 CL TH","1415 OSMIUM LN, CHARLOTTE NC 28211","Inspection Phase","10 Central Living TH",
"06/11/2026","RES-NEW-26-003297","Residential New Construction Permit","New five-unit townhome dwelling.","9 CL TH","1419 OSMIUM LN, CHARLOTTE NC 28211","Inspection Phase","9 Central Living TH",
"06/11/2026","RES-NEW-26-003307","Residential New Construction Permit","New Construction TH w/attached garage","1341 Santee St","1341 SANTEE ST, CHARLOTTE NC 28208","Inspection Phase","Satori - Building 3A",
"06/11/2026","RES-NEW-26-003302","Residential New Construction Permit","New five-unit townhome dwelling.","13 CL TH","1403 OSMIUM LN, CHARLOTTE NC 28211","Inspection Phase","13 Central Living TH",
"06/11/2026","RES-NEW-26-003308","Residential New Construction Permit","New Construction TH w/attached garage","1343 Santee St","1343 SANTEE ST, CHARLOTTE NC 28208","Inspection Phase","Satori - Building 3B",
"06/11/2026","RES-NEW-26-003314","Residential New Construction Permit","New construction","4326 Connelly | Northway 1190","4326 CONNELLY CR, CHARLOTTE NC 28208","In Review - Waiting on Agency",,
"06/11/2026","RES-NEW-26-003295","Residential New Construction Permit","New townhome","2034 W LAPORTE DR CHARLOTTE","2034 W LAPORTE DR, CHARLOTTE NC 28216","Pending Remaining Units",,
"06/11/2026","RES-NEW-26-003300","Residential New Construction Permit","New five-unit townhome dwelling.","11 CL TH","1411 OSMIUM LN, CHARLOTTE NC 28211","Inspection Phase","11 Central Living TH",
"06/11/2026","RES-NEW-26-003311","Residential New Construction Permit","New SF Construction, 3811 sq. ft.","OPB 107","128 S GREGG ST, CHARLOTTE NC 28208","Inspection Phase","New SF Construction",
"06/11/2026","RES-NEW-26-003313","Residential New Construction Permit","Build new house within setbacks","Caldwell 3","1315 N CALDWELL ST, CHARLOTTE NC 28206","Bond Amount Exceeded","New Construction Home",
"06/11/2026","RES-NEW-26-003301","Residential New Construction Permit","New five-unit townhome dwelling.","12 CL TH","1407 OSMIUM LN, CHARLOTTE NC 28211","Inspection Phase","12 Central Living TH",
"06/11/2026","26TMP-087840","Residential New Construction Permit","4 Units.",,"702 E 15TH ST, CHARLOTTE NC 28206",,,
"06/11/2026","RES-NEW-26-003310","Residential New Construction Permit","S8 0226 TORREY WITH PATIO MP Review for Torrey SF Residence","S8 0226 TORREY WITH PATIO","5410 MCCALLUM MEADOWS DR, CHARLOTTE NC 28216","In Review - Waiting on Agency","S8 0226 TORREY WITH PATIO",
"06/11/2026","26TMP-087453","Residential New Construction Permit","NEW CONSTRUCTION - SINGLE FAMILY","RIVER POINT LOT 159","6136 UPRIVER RD, CHARLOTTE NC 28278",,,
"06/11/2026","RES-NEW-26-003298","Residential New Construction Permit","Build a 2 new construction house on existing lot","1618 Andover Road","1618 ANDOVER RD, CHARLOTTE NC 28211","Ready to Issue",,
"06/11/2026","26TMP-087175","Residential New Construction Permit",,,"803 CHARLES AV, CHARLOTTE NC 28205",,,
"06/11/2026","RES-NEW-26-003303","Residential New Construction Permit","B1 0072 ELDER WITH PATIO","B1 0072 ELDER WITH PATIO","11019 EUROPEAN ST, MECKLENBURG NC 28214","In Review - Waiting on Agency","B1 0072 ELDER WITH PATIO",
"06/11/2026","26TMP-087817","Residential New Construction Permit","New construction of three attached residential units, each with three bedrooms, 2.5 baths, double car garage, rear deck, concrete driveway, landscaping, and all associated utilities. Lots to be subdivided into individual parcels.","Elsa Townhomes","8640 VIOLA DR, CHARLOTTE NC 28215",,,
"06/11/2026","26TMP-087686","Residential New Construction Permit","Construction of a new two story townhouse residential building on a slab foundation. Each unit will include approximately 2326sq.ft of conditioned space, with 3 bedrooms and 2.5 bathrooms per unit. The structure will be wood framed with exterior finishes consisting of vinyl siding.","New Townhome Build","826 HOLLAND AV, CHARLOTTE NC 28206",,,
"06/11/2026","RES-NEW-26-003305","Residential New Construction Permit","New Construction TH w/attached garage","1337 Santee St","1337 SANTEE ST, CHARLOTTE NC 28208","Inspection Phase","Satori - Building 2A",
"06/11/2026","RES-NEW-26-003312","Residential New Construction Permit","New Residential SF Townhomes Attached","P21004A","11122 EMERSON LANDING DR, MECKLENBURG NC 28214","Pending","P21004A",
"06/11/2026","RES-NEW-26-003309","Residential New Construction Permit","New Construction TH w/attached garage","1345 Santee St","1345 SANTEE ST, CHARLOTTE NC 28208","Inspection Phase","Satori - Building 3C",
"06/11/2026","RES-NEW-26-003304","Residential New Construction Permit","New residential single family dwelling","Whitaker Pointe","7213 HELMANS DR, HUNTERSVILLE NC 28078","In Review - Waiting on Agency","Lot 121",
"06/11/2026","RES-NEW-26-003294","Residential New Construction Permit","plan 1830 L- MP 460460","Davidson Cottages, Lot 18","401 DELBURG MILL AL, DAVIDSON NC 28036","Inspection Phase","401 Delburg Mill Alley, SFR",
